klaster,variabel,mean,std,cv_persen,bobot_spasial
0,Z1i,209.7354,575.4942,274.39,0.5
0,Z2i,1798.93,2685.7962,149.3,0.5
0,Z3i,247322.4844,80040.5538,32.36,0.5
0,Z4i,74.4134,21.0628,28.31,0.5
0,Z5i,4.3847,2.8299,64.54,0.5
0,Z6i,0.043,0.1784,415.17,0.5
0,Z7i,8.2298,10.781,131.0,0.5
0,Z8i,709.872,1524.9354,214.82,0.5
0,Z9i,103.4736,28.5329,27.58,0.5
0,Z10i,2.1819,2.6232,120.23,0.5
0,Z11i,1.7344,0.4452,25.67,0.5
1,Z1i,3631.8389,3812.2425,104.97,0.5
1,Z2i,11809.6878,12120.09,102.63,0.5
1,Z3i,88585.7557,50049.6472,56.5,0.5
1,Z4i,14.2145,14.8787,104.67,0.5
1,Z5i,3.8912,3.6449,93.67,0.5
1,Z6i,8.363,12.4105,148.4,0.5
1,Z7i,40.2923,23.1709,57.51,0.5
1,Z8i,6818.8171,10253.892,150.38,0.5
1,Z9i,42.4979,37.7453,88.82,0.5
1,Z10i,7.278,8.8899,122.15,0.5
1,Z11i,1.4773,0.5009,33.91,0.5
2,Z1i,636.771,1302.1473,204.49,0.5
2,Z2i,3025.2293,4060.4412,134.22,0.5
2,Z3i,94932.7714,48557.7568,51.15,0.5
2,Z4i,68.217,28.0619,41.14,0.5
2,Z5i,2.1846,1.7128,78.4,0.5
2,Z6i,0.65,3.3477,515.03,0.5
2,Z7i,16.0824,19.7697,122.93,0.5
2,Z8i,1946.5836,2514.0266,129.15,0.5
2,Z9i,97.1586,50.1593,51.63,0.5
2,Z10i,3.522,3.6954,104.92,0.5
2,Z11i,1.7619,0.428,24.29,0.5
0,Z1i,295.4583,687.118,232.56,1.0
0,Z2i,2001.2125,3199.7002,159.89,1.0
0,Z3i,173190.9421,103515.3278,59.77,1.0
0,Z4i,75.9587,20.8696,27.47,1.0
0,Z5i,3.2236,2.4958,77.42,1.0
0,Z6i,0.0789,0.594,752.63,1.0
0,Z7i,8.354,11.2365,134.51,1.0
0,Z8i,1161.4781,1732.3609,149.15,1.0
0,Z9i,113.2093,18.8407,16.64,1.0
0,Z10i,2.6242,2.8639,109.13,1.0
0,Z11i,1.8017,0.4004,22.22,1.0
1,Z1i,3072.8776,3596.0622,117.03,1.0
1,Z2i,9766.382,12665.7285,129.69,1.0
1,Z3i,95724.2297,54237.3337,56.66,1.0
1,Z4i,27.2444,30.7483,112.86,1.0
1,Z5i,4.1832,3.5692,85.32,1.0
1,Z6i,9.1008,12.8276,140.95,1.0
1,Z7i,27.0686,17.5529,64.85,1.0
1,Z8i,4885.506,10394.5945,212.76,1.0
1,Z9i,23.3353,24.7377,106.01,1.0
1,Z10i,3.4597,5.7342,165.75,1.0
1,Z11i,1.3378,0.4746,35.47,1.0
2,Z1i,3012.5173,3745.2119,124.32,1.0
2,Z2i,10838.3474,8367.6539,77.2,1.0
2,Z3i,82426.0921,38162.5553,46.3,1.0
2,Z4i,15.84,10.8676,68.61,1.0
2,Z5i,2.4432,2.8517,116.72,1.0
2,Z6i,2.4528,6.8587,279.63,1.0
2,Z7i,56.445,23.0019,40.75,1.0
2,Z8i,7715.0151,6687.9988,86.69,1.0
2,Z9i,94.1005,39.9431,42.45,1.0
2,Z10i,12.6424,8.9773,71.01,1.0
2,Z11i,1.8421,0.3671,19.93,1.0
0,Z1i,297.9205,689.4628,231.43,2.0
0,Z2i,1989.5939,3210.5521,161.37,2.0
0,Z3i,173164.8667,103948.9572,60.03,2.0
0,Z4i,76.3885,20.4122,26.72,2.0
0,Z5i,3.1667,2.426,76.61,2.0
0,Z6i,0.0785,0.5965,759.86,2.0
0,Z7i,8.1861,11.1302,135.96,2.0
0,Z8i,1146.4422,1731.6778,151.05,2.0
0,Z9i,113.441,18.7457,16.52,2.0
0,Z10i,2.5549,2.7722,108.5,2.0
0,Z11i,1.8,0.4017,22.32,2.0
1,Z1i,3018.1516,3596.9912,119.18,2.0
1,Z2i,10099.2283,13048.905,129.21,2.0
1,Z3i,95175.94,54101.2017,56.84,2.0
1,Z4i,26.9589,30.6427,113.66,2.0
1,Z5i,4.1387,3.5659,86.16,2.0
1,Z6i,8.9463,12.6499,141.4,2.0
1,Z7i,27.1995,17.4596,64.19,2.0
1,Z8i,5095.3303,10593.8474,207.91,2.0
1,Z9i,23.8237,24.6053,103.28,2.0
1,Z10i,3.9163,6.4855,165.6,2.0
1,Z11i,1.34,0.4753,35.47,2.0
2,Z1i,3080.1929,3738.7727,121.38,2.0
2,Z2i,10102.0019,6941.0678,68.71,2.0
