output_type,parameter_type,region,origin,destination,coefficient,std_error,z_value,wald_statistic,p_value,multiplicative_factor,flow,predicted_flow,residual,distance_value
parameter,intercept,global_system,NA,NA,15.824625720435787,1.415103896238446e-4,111826.59988782425,12505188442.471535,0,7456716.444837069,NA,NA,NA,NA
parameter,distance,distance,NA,NA,-0.026388192994860594,3.8855183519080164e-6,-6791.421531158758,46123406.41388676,0,0.973956932955947,NA,NA,NA,NA
parameter,origin,Bekasi,NA,NA,0.5017347051643891,1.7028649640408344e-4,2946.4151048935296,8681361.970344748,0,1.6515837981057597,NA,NA,NA,NA
parameter,origin,Bogor,NA,NA,0.8247138250546958,1.1921484283439315e-4,6917.878725892747,47857046.06615946,0,2.281227841655749,NA,NA,NA,NA
parameter,origin,Jakarta Barat,NA,NA,-0.02386946236439624,1.521318104507938e-4,-156.8998771109523,24617.571437431936,0,0.9764131601044873,NA,NA,NA,NA
parameter,origin,Jakarta Pusat,NA,NA,-0.6195890944635766,1.9015541798516974e-4,-3258.329954668441,10616714.093489645,0,0.5381655273627645,NA,NA,NA,NA
parameter,origin,Jakarta Selatan,NA,NA,0.07788233024209204,1.4159825380285058e-4,550.0232393439597,302525.56381842284,0,1.0809954507129802,NA,NA,NA,NA
parameter,origin,Jakarta Timur,NA,NA,0.29954783277502783,1.357285016722999e-4,2206.9633797199795,4870687.359425034,0,1.3492485836369068,NA,NA,NA,NA
parameter,origin,Jakarta Utara,NA,NA,-0.0442897550761886,1.5607728559802837e-4,-283.7681018508697,80524.33562804556,0,0.9566767153742826,NA,NA,NA,NA
parameter,origin,Kota Bekasi,NA,NA,0.03528541763960729,1.4936225655616338e-4,236.24052322977073,55809.584815875845,0,1.0359153351189159,NA,NA,NA,NA
parameter,origin,Kota Bogor,NA,NA,-0.6109495501833326,2.2804096312340294e-4,-2679.1219516676097,7177694.431907262,0,0.542835175034589,NA,NA,NA,NA
parameter,origin,Kota Depok,NA,NA,0.07154294777516751,1.4383534901083744e-4,497.39475217442566,247401.53949065832,0,1.0741642826767792,NA,NA,NA,NA
parameter,origin,Kota Tangerang,NA,NA,-0.0033708373391365815,1.6244774448927952e-4,-20.75028711376805,430.57441530380834,0,0.9966348375548746,NA,NA,NA,NA
parameter,origin,Kota Tangerang Selatan,NA,NA,-0.47785913707351246,1.8442976452181747e-4,-2591.0087686360584,6713326.439148944,0,0.62010954127479,NA,NA,NA,NA
parameter,origin,Tangerang,NA,NA,-0.030779222150836515,2.0603441002435622e-4,-149.38874602158916,22316.99743790287,0,0.9696896354371105,NA,NA,NA,NA
